Year RCP3PD RCP45 RCP45SCP45TO3PD RCP6 RCP6SCP6TO45 RCP85
1800 0.0079999999 0.0079999999 0.0079999999 0.0079999999 0.0079999999 0.0079999999
1801 0.0079999999 0.0079999999 0.0079999999 0.0079999999 0.0079999999 0.0079999999
1802 0.0099999999 0.0099999999 0.0099999999 0.0099999999 0.0099999999 0.0099999999
1803 0.0089999999 0.0089999999 0.0089999999 0.0089999999 0.0089999999 0.0089999999
1804 0.0089999999 0.0089999999 0.0089999999 0.0089999999 0.0089999999 0.0089999999
1805 0.0089999999 0.0089999999 0.0089999999 0.0089999999 0.0089999999 0.0089999999
1806 0.0099999998 0.0099999998 0.0099999998 0.0099999998 0.0099999998 0.0099999998
1807 0.0099999999 0.0099999999 0.0099999999 0.0099999999 0.0099999999 0.0099999999
1808 0.0099999999 0.0099999999 0.0099999999 0.0099999999 0.0099999999 0.0099999999
1809 0.0099999999 0.0099999999 0.0099999999 0.0099999999 0.0099999999 0.0099999999
1810 0.0099999999 0.0099999999 0.0099999999 0.0099999999 0.0099999999 0.0099999999
1811 0.011 0.011 0.011 0.011 0.011 0.011
1812 0.011 0.011 0.011 0.011 0.011 0.011
1813 0.011 0.011 0.011 0.011 0.011 0.011
1814 0.011 0.011 0.011 0.011 0.011 0.011
1815 0.012 0.012 0.012 0.012 0.012 0.012
1816 0.013 0.013 0.013 0.013 0.013 0.013
1817 0.014 0.014 0.014 0.014 0.014 0.014
1818 0.014 0.014 0.014 0.014 0.014 0.014
1819 0.014 0.014 0.014 0.014 0.014 0.014
1820 0.014 0.014 0.014 0.014 0.014 0.014
1821 0.014 0.014 0.014 0.014 0.014 0.014
1822 0.015 0.015 0.015 0.015 0.015 0.015
1823 0.016 0.016 0.016 0.016 0.016 0.016
1824 0.016 0.016 0.016 0.016 0.016 0.016
1825 0.017 0.017 0.017 0.017 0.017 0.017
1826 0.017 0.017 0.017 0.017 0.017 0.017
1827 0.018 0.018 0.018 0.018 0.018 0.018
1828 0.018 0.018 0.018 0.018 0.018 0.018
1829 0.018 0.018 0.018 0.018 0.018 0.018
1830 0.024 0.024 0.024 0.024 0.024 0.024
1831 0.023 0.023 0.023 0.023 0.023 0.023
1832 0.023 0.023 0.023 0.023 0.023 0.023
1833 0.024 0.024 0.024 0.024 0.024 0.024
1834 0.024 0.024 0.024 0.024 0.024 0.024
1835 0.025 0.025 0.025 0.025 0.025 0.025
1836 0.029 0.029 0.029 0.029 0.029 0.029
1837 0.029 0.029 0.029 0.029 0.029 0.029
1838 0.03 0.03 0.03 0.03 0.03 0.03
1839 0.031 0.031 0.031 0.031 0.031 0.031
1840 0.032999999 0.032999999 0.032999999 0.032999999 0.032999999 0.032999999
1841 0.033999999 0.033999999 0.033999999 0.033999999 0.033999999 0.033999999
1842 0.035999999 0.035999999 0.035999999 0.035999999 0.035999999 0.035999999
1843 0.036999999 0.036999999 0.036999999 0.036999999 0.036999999 0.036999999
1844 0.038999999 0.038999999 0.038999999 0.038999999 0.038999999 0.038999999
1845 0.042999999 0.042999999 0.042999999 0.042999999 0.042999999 0.042999999
1846 0.042999999 0.042999999 0.042999999 0.042999999 0.042999999 0.042999999
1847 0.045999999 0.045999999 0.045999999 0.045999999 0.045999999 0.045999999
1848 0.046999999 0.046999999 0.046999999 0.046999999 0.046999999 0.046999999
1849 0.049999999 0.049999999 0.049999999 0.049999999 0.049999999 0.049999999
1850 0.053999999 0.053999999 0.053999999 0.053999999 0.053999999 0.053999999
1851 0.053999999 0.053999999 0.053999999 0.053999999 0.053999999 0.053999999
1852 0.056999999 0.056999999 0.056999999 0.056999999 0.056999999 0.056999999
1853 0.058999999 0.058999999 0.058999999 0.058999999 0.058999999 0.058999999
1854 0.068999999 0.068999999 0.068999999 0.068999999 0.068999999 0.068999999
1855 0.070999999 0.070999999 0.070999999 0.070999999 0.070999999 0.070999999
1856 0.075999999 0.075999999 0.075999999 0.075999999 0.075999999 0.075999999
1857 0.076999999 0.076999999 0.076999999 0.076999999 0.076999999 0.076999999
1858 0.077999999 0.077999999 0.077999999 0.077999999 0.077999999 0.077999999
1859 0.082999999 0.082999999 0.082999999 0.082999999 0.082999999 0.082999999
1860 0.090999999 0.090999999 0.090999999 0.090999999 0.090999999 0.090999999
1861 0.094999998 0.094999998 0.094999998 0.094999998 0.094999998 0.094999998
1862 0.096999998 0.096999998 0.096999998 0.096999998 0.096999998 0.096999998
1863 0.104 0.104 0.104 0.104 0.104 0.104
1864 0.112 0.112 0.112 0.112 0.112 0.112
1865 0.119 0.119 0.119 0.119 0.119 0.119
1866 0.122 0.122 0.122 0.122 0.122 0.122
1867 0.13022269 0.13022269 0.13022269 0.13022269 0.13022269 0.13022269
1868 0.13525196 0.13525196 0.13525196 0.13525196 0.13525196 0.13525196
1869 0.14228123 0.14228123 0.14228123 0.14228123 0.14228123 0.14228123
1870 0.14731051 0.14731051 0.14731051 0.14731051 0.14731051 0.14731051
1871 0.15633978 0.15633978 0.15633978 0.15633978 0.15633978 0.15633978
1872 0.17336905 0.17336905 0.17336905 0.17336905 0.17336905 0.17336905
1873 0.18439832 0.18439832 0.18439832 0.18439832 0.18439832 0.18439832
1874 0.1744276 0.1744276 0.1744276 0.1744276 0.1744276 0.1744276
1875 0.18845687 0.18845687 0.18845687 0.18845687 0.18845687 0.18845687
1876 0.19148614 0.19148614 0.19148614 0.19148614 0.19148614 0.19148614
1877 0.19451541 0.19451541 0.19451541 0.19451541 0.19451541 0.19451541
1878 0.196 0.196 0.196 0.196 0.196 0.196
1879 0.21 0.21 0.21 0.21 0.21 0.21
1880 0.236 0.236 0.236 0.236 0.236 0.236
1881 0.243 0.243 0.243 0.243 0.243 0.243
1882 0.256 0.256 0.256 0.256 0.256 0.256
1883 0.272 0.272 0.272 0.272 0.272 0.272
1884 0.275 0.275 0.275 0.275 0.275 0.275
1885 0.27699999 0.27699999 0.27699999 0.27699999 0.27699999 0.27699999
1886 0.28099999 0.28099999 0.28099999 0.28099999 0.28099999 0.28099999
1887 0.295 0.295 0.295 0.295 0.295 0.295
1888 0.32699999 0.32699999 0.32699999 0.32699999 0.32699999 0.32699999
1889 0.32699999 0.32699999 0.32699999 0.32699999 0.32699999 0.32699999
1890 0.35599999 0.35599999 0.35599999 0.35599999 0.35599999 0.35599999
1891 0.37199999 0.37199999 0.37199999 0.37199999 0.37199999 0.37199999
1892 0.37399999 0.37399999 0.37399999 0.37399999 0.37399999 0.37399999
1893 0.36999999 0.36999999 0.36999999 0.36999999 0.36999999 0.36999999
1894 0.38299999 0.38299999 0.38299999 0.38299999 0.38299999 0.38299999
1895 0.40599999 0.40599999 0.40599999 0.40599999 0.40599999 0.40599999
1896 0.41899999 0.41899999 0.41899999 0.41899999 0.41899999 0.41899999
1897 0.43999999 0.43999999 0.43999999 0.43999999 0.43999999 0.43999999
1898 0.46499999 0.46499999 0.46499999 0.46499999 0.46499999 0.46499999
1899 0.50699999 0.50699999 0.50699999 0.50699999 0.50699999 0.50699999
1900 0.53399999 0.53399999 0.53399999 0.53399999 0.53399999 0.53399999
1901 0.55199999 0.55199999 0.55199999 0.55199999 0.55199999 0.55199999
1902 0.56599999 0.56599999 0.56599999 0.56599999 0.56599999 0.56599999
1903 0.61699999 0.61699999 0.61699999 0.61699999 0.61699999 0.61699999
1904 0.62399999 0.62399999 0.62399999 0.62399999 0.62399999 0.62399999
1905 0.66299999 0.66299999 0.66299999 0.66299999 0.66299999 0.66299999
1906 0.70699999 0.70699999 0.70699999 0.70699999 0.70699999 0.70699999
1907 0.78399999 0.78399999 0.78399999 0.78399999 0.78399999 0.78399999
1908 0.74999999 0.74999999 0.74999999 0.74999999 0.74999999 0.74999999
1909 0.78499999 0.78499999 0.78499999 0.78499999 0.78499999 0.78499999
1910 0.81899999 0.81899999 0.81899999 0.81899999 0.81899999 0.81899999
1911 0.83599999 0.83599999 0.83599999 0.83599999 0.83599999 0.83599999
1912 0.87899999 0.87899999 0.87899999 0.87899999 0.87899999 0.87899999
1913 0.94299999 0.94299999 0.94299999 0.94299999 0.94299999 0.94299999
1914 0.84999999 0.84999999 0.84999999 0.84999999 0.84999999 0.84999999
1915 0.83799999 0.83799999 0.83799999 0.83799999 0.83799999 0.83799999
1916 0.90099999 0.90099999 0.90099999 0.90099999 0.90099999 0.90099999
1917 0.95499999 0.95499999 0.95499999 0.95499999 0.95499999 0.95499999
1918 0.93599999 0.93599999 0.93599999 0.93599999 0.93599999 0.93599999
1919 0.80599999 0.80599999 0.80599999 0.80599999 0.80599999 0.80599999
1920 0.93199999 0.93199999 0.93199999 0.93199999 0.93199999 0.93199999
1921 0.80299999 0.80299999 0.80299999 0.80299999 0.80299999 0.80299999
1922 0.84499999 0.84499999 0.84499999 0.84499999 0.84499999 0.84499999
1923 0.96999999 0.96999999 0.96999999 0.96999999 0.96999999 0.96999999
1924 0.96299999 0.96299999 0.96299999 0.96299999 0.96299999 0.96299999
1925 0.97499999 0.97499999 0.97499999 0.97499999 0.97499999 0.97499999
1926 0.98299999 0.98299999 0.98299999 0.98299999 0.98299999 0.98299999
1927 1.062 1.062 1.062 1.062 1.062 1.062
1928 1.065 1.065 1.065 1.065 1.065 1.065
1929 1.145 1.145 1.145 1.145 1.145 1.145
1930 1.053 1.053 1.053 1.053 1.053 1.053
1931 0.93999999 0.93999999 0.93999999 0.93999999 0.93999999 0.93999999
1932 0.84699999 0.84699999 0.84699999 0.84699999 0.84699999 0.84699999
1933 0.89299999 0.89299999 0.89299999 0.89299999 0.89299999 0.89299999
1934 0.97299999 0.97299999 0.97299999 0.97299999 0.97299999 0.97299999
1935 1.027 1.027 1.027 1.027 1.027 1.027
1936 1.13 1.13 1.13 1.13 1.13 1.13
1937 1.209 1.209 1.209 1.209 1.209 1.209
1938 1.142 1.142 1.142 1.142 1.142 1.142
1939 1.192 1.192 1.192 1.192 1.192 1.192
1940 1.299 1.299 1.299 1.299 1.299 1.299
1941 1.334 1.334 1.334 1.334 1.334 1.334
1942 1.342 1.342 1.342 1.342 1.342 1.342
1943 1.391 1.391 1.391 1.391 1.391 1.391
1944 1.383 1.383 1.383 1.383 1.383 1.383
1945 1.16 1.16 1.16 1.16 1.16 1.16
1946 1.238 1.238 1.238 1.238 1.238 1.238
1947 1.392 1.392 1.392 1.392 1.392 1.392
1948 1.469 1.469 1.469 1.469 1.469 1.469
1949 1.419 1.419 1.419 1.419 1.419 1.419
1950 1.63 1.63 1.63 1.63 1.63 1.63
1951 1.768 1.768 1.768 1.768 1.768 1.768
1952 1.796 1.796 1.796 1.796 1.796 1.796
1953 1.841 1.841 1.841 1.841 1.841 1.841
1954 1.865 1.865 1.865 1.865 1.865 1.865
1955 2.043 2.043 2.043 2.043 2.043 2.043
1956 2.178 2.178 2.178 2.178 2.178 2.178
1957 2.27 2.27 2.27 2.27 2.27 2.27
1958 2.33 2.33 2.33 2.33 2.33 2.33
1959 2.462 2.462 2.462 2.462 2.462 2.462
1960 2.577 2.577 2.577 2.577 2.577 2.577
1961 2.594 2.594 2.594 2.594 2.594 2.594
1962 2.7 2.7 2.7 2.7 2.7 2.7
1963 2.848 2.848 2.848 2.848 2.848 2.848
1964 3.008 3.008 3.008 3.008 3.008 3.008
1965 3.145 3.145 3.145 3.145 3.145 3.145
1966 3.305 3.305 3.305 3.305 3.305 3.305
1967 3.411 3.411 3.411 3.411 3.411 3.411
1968 3.588 3.588 3.588 3.588 3.588 3.588
1969 3.8 3.8 3.8 3.8 3.8 3.8
1970 4.076 4.076 4.076 4.076 4.076 4.076
1971 4.231 4.231 4.231 4.231 4.231 4.231
1972 4.399 4.399 4.399 4.399 4.399 4.399
1973 4.6349999 4.6349999 4.6349999 4.6349999 4.6349999 4.6349999
1974 4.644 4.644 4.644 4.644 4.644 4.644
1975 4.615 4.615 4.615 4.615 4.615 4.615
1976 4.883 4.883 4.883 4.883 4.883 4.883
1977 5.029 5.029 5.029 5.029 5.029 5.029
1978 5.105 5.105 5.105 5.105 5.105 5.105
1979 5.387 5.387 5.387 5.387 5.387 5.387
1980 5.332 5.332 5.332 5.332 5.332 5.332
1981 5.168 5.168 5.168 5.168 5.168 5.168
1982 5.127 5.127 5.127 5.127 5.127 5.127
1983 5.11 5.11 5.11 5.11 5.11 5.11
1984 5.29 5.29 5.29 5.29 5.29 5.29
1985 5.444 5.444 5.444 5.444 5.444 5.444
1986 5.61 5.61 5.61 5.61 5.61 5.61
1987 5.753 5.753 5.753 5.753 5.753 5.753
1988 5.964 5.964 5.964 5.964 5.964 5.964
1989 6.089 6.089 6.089 6.089 6.089 6.089
1990 6.144 6.144 6.144 6.144 6.144 6.144
1991 6.235 6.235 6.235 6.235 6.235 6.235
1992 6.118 6.118 6.118 6.118 6.118 6.118
1993 6.124 6.124 6.124 6.124 6.124 6.124
1994 6.242 6.242 6.242 6.242 6.242 6.242
1995 6.372 6.372 6.372 6.372 6.372 6.372
1996 6.51 6.51 6.51 6.51 6.51 6.51
1997 6.619 6.619 6.619 6.619 6.619 6.619
1998 6.588 6.588 6.588 6.588 6.588 6.588
1999 6.569 6.569 6.569 6.569 6.569 6.569
2000 6.735 6.735 6.735 6.735 6.735 6.735
2001 6.8959 6.8959 6.8959 6.8959 6.8959 6.8959
2002 6.949 6.949 6.949 6.949 6.949 6.949
2003 7.286 7.286 7.286 7.286 7.286 7.286
2004 7.6719 7.6719 7.6719 7.6719 7.6719 7.6719
2005 7.971 7.971 7.971 7.971 7.971 7.971
2006 8.1427 8.0985 8.0985 8.081 8.081 8.1615
2007 8.3136 8.226 8.226 8.1899 8.1899 8.3523
2008 8.4828667 8.3531333 8.3531333 8.2971667 8.2971667 8.5434
2009 8.6521333 8.4802667 8.4802667 8.4044333 8.4044333 8.7345
2010 8.8214 8.6074 8.6074 8.5117 8.5117 8.9256
2011 8.86803 8.73381 8.73381 8.55557 8.55557 9.18679
2012 8.91466 8.86022 8.86022 8.59944 8.59944 9.44798
2013 8.96129 8.98663 8.98663 8.64331 8.64331 9.70917
2014 9.00792 9.11304 9.11304 8.68718 8.68718 9.97036
2015 9.05455 9.23945 9.23945 8.73105 8.73105 10.23155
2016 9.10118 9.36586 9.36586 8.77492 8.77492 10.49274
2017 9.14781 9.49227 9.49227 8.81879 8.81879 10.75393
2018 9.19444 9.61868 9.61868 8.86266 8.86266 11.01512
2019 9.24107 9.74509 9.74509 8.90653 8.90653 11.27631
2020 9.2877 9.8715 9.8715 8.9504 8.9504 11.5375
2021 9.07462 9.97968 9.97968 9.05487 9.05487 11.76766
2022 8.86154 10.08786 10.08786 9.15934 9.15934 11.99782
2023 8.64846 10.19604 10.19604 9.26381 9.26381 12.22798
2024 8.43538 10.30422 10.30422 9.36828 9.36828 12.45814
2025 8.2223 10.4124 10.4124 9.47275 9.47275 12.6883
2026 8.00922 10.52058 10.52058 9.57722 9.57722 12.91846
2027 7.79614 10.62876 10.62876 9.68169 9.68169 13.14862
2028 7.58306 10.73694 10.73694 9.78616 9.78616 13.37878
2029 7.36998 10.84512 10.84512 9.89063 9.89063 13.60894
2030 7.1569 10.9533 10.9533 9.9951 9.9951 13.8391
2031 6.8947 10.99177 10.99177 10.15102 10.15102 14.13385
2032 6.6325 11.03024 11.03024 10.30694 10.30694 14.4286
2033 6.3703 11.06871 11.06871 10.46286 10.46286 14.72335
2034 6.1081 11.10718 11.10718 10.61878 10.61878 15.0181
2035 5.8459 11.14565 11.14565 10.7747 10.7747 15.31285
2036 5.5837 11.18412 11.18412 10.93062 10.93062 15.6076
2037 5.3215 11.22259 11.22259 11.08654 11.08654 15.90235
2038 5.0593 11.26106 11.26106 11.24246 11.24246 16.1971
2039 4.7971 11.29953 11.29953 11.39838 11.39838 16.49185
2040 4.5349 11.338 11.338 11.5543 11.5543 16.7866
2041 4.39997 11.30733 11.30733 11.70325 11.70325 17.1284
2042 4.26504 11.27666 11.27666 11.8522 11.8522 17.4702
2043 4.13011 11.24599 11.24599 12.00115 12.00115 17.812
2044 3.99518 11.21532 11.21532 12.1501 12.1501 18.1538
2045 3.86025 11.18465 11.18465 12.29905 12.29905 18.4956
2046 3.72532 11.15398 11.15398 12.448 12.448 18.8374
2047 3.59039 11.12331 11.12331 12.59695 12.59695 19.1792
2048 3.45546 11.09264 11.09264 12.7459 12.7459 19.521
2049 3.32053 11.06197 11.06197 12.89485 12.89485 19.8628
2050 3.1856 11.0313 11.0313 13.0438 13.0438 20.2046
2051 3.00896 10.86829 10.86829 13.22186 13.22186 20.54375
2052 2.83232 10.70528 10.70528 13.39992 13.39992 20.8829
2053 2.65568 10.54227 10.54227 13.57798 13.57798 21.22205
2054 2.47904 10.37926 10.37926 13.75604 13.75604 21.5612
2055 2.3024 10.21625 10.21625 13.9341 13.9341 21.90035
2056 2.12576 10.05324 10.05324 14.11216 14.11216 22.2395
2057 1.94912 9.89023 9.89023 14.29022 14.29022 22.57865
2058 1.77248 9.72722 9.72722 14.46828 14.46828 22.9178
2059 1.59584 9.56421 9.56421 14.64634 14.64634 23.25695
2060 1.4192 9.4012 9.4012 14.8244 14.8244 23.5961
2061 1.28885 9.1729 9.1729 14.99256 14.99256 23.83271
2062 1.1585 8.9446 8.9446 15.16072 15.16072 24.06932
2063 1.02815 8.7163 8.7163 15.32888 15.32888 24.30593
2064 0.8978 8.488 8.488 15.49704 15.49704 24.54254
2065 0.76745 8.2597 8.2597 15.6652 15.6652 24.77915
2066 0.6371 8.0314 8.0314 15.83336 15.83336 25.01576
2067 0.50675 7.8031 7.8031 16.00152 16.00152 25.25237
2068 0.3764 7.5748 7.5748 16.16968 16.16968 25.48898
2069 0.24605 7.3465 7.3465 16.33784 16.33784 25.72559
2070 0.1157 7.1182 7.1182 16.506 16.506 25.9622
2071 0.06083 6.82459 6.82459 16.58346 16.58346 26.10659
2072 0.00596 6.53098 6.53098 16.66092 16.66092 26.25098
2073 -0.04891 6.23737 6.23737 16.73838 16.73838 26.39537
2074 -0.10378 5.94376 5.94376 16.81584 16.81584 26.53976
2075 -0.15865 5.65015 5.65015 16.8933 16.8933 26.68415
2076 -0.21352 5.35654 5.35654 16.97076 16.97076 26.82854
2077 -0.26839 5.06293 5.06293 17.04822 17.04822 26.97293
2078 -0.32326 4.76932 4.76932 17.12568 17.12568 27.11732
2079 -0.37813 4.47571 4.47571 17.20314 17.20314 27.26171
2080 -0.433 4.1821 4.1821 17.2806 17.2806 27.4061
2081 -0.47674 4.18314 4.18314 16.98385 16.98385 27.49916
2082 -0.52048 4.18418 4.18418 16.6871 16.6871 27.59222
2083 -0.56422 4.18522 4.18522 16.39035 16.39035 27.68528
2084 -0.60796 4.18626 4.18626 16.0936 16.0936 27.77834
2085 -0.6517 4.1873 4.1873 15.79685 15.79685 27.8714
2086 -0.69544 4.18834 4.18834 15.5001 15.5001 27.96446
2087 -0.73918 4.18938 4.18938 15.20335 15.20335 28.05752
2088 -0.78292 4.19042 4.19042 14.9066 14.9066 28.15058
2089 -0.82666 4.19146 4.19146 14.60985 14.60985 28.24364
2090 -0.8704 4.1925 4.1925 14.3131 14.3131 28.3367
2091 -0.87644 4.19355 4.19355 14.25712 14.25712 28.37703
2092 -0.88248 4.1946 4.1946 14.20114 14.20114 28.41736
2093 -0.88852 4.19565 4.19565 14.14516 14.14516 28.45769
2094 -0.89456 4.1967 4.1967 14.08918 14.08918 28.49802
2095 -0.9006 4.19775 4.19775 14.0332 14.0332 28.53835
2096 -0.90664 4.1988 4.1988 13.97722 13.97722 28.57868
2097 -0.91268 4.19985 4.19985 13.92124 13.92124 28.61901
2098 -0.91872 4.2009 4.2009 13.86526 13.86526 28.65934
2099 -0.92476 4.20195 4.20195 13.80928 13.80928 28.69967
2100 -0.9308 4.203 4.203 13.7533 13.7533 28.74
2101 -0.9308 4.09086 4.016796 13.548236 13.402572 28.74
2102 -0.9308 3.97872 3.830592 13.343172 13.051844 28.74
2103 -0.9308 3.86658 3.644388 13.138108 12.701116 28.74
2104 -0.9308 3.75444 3.458184 12.933044 12.350388 28.74
2105 -0.9308 3.6423 3.27198 12.72798 11.99966 28.74
2106 -0.9308 3.53016 3.085776 12.522916 11.648932 28.74
2107 -0.9308 3.41802 2.899572 12.317852 11.298204 28.74
2108 -0.9308 3.30588 2.713368 12.112788 10.947476 28.74
2109 -0.9308 3.19374 2.527164 11.907724 10.596748 28.74
2110 -0.9308 3.0816 2.34096 11.70266 10.24602 28.74
2111 -0.9308 3.00189 2.154756 11.497596 9.895292 28.74
2112 -0.9308 2.92218 1.968552 11.292532 9.544564 28.74
2113 -0.9308 2.84247 1.782348 11.087468 9.193836 28.74
2114 -0.9308 2.76276 1.596144 10.882404 8.843108 28.74
2115 -0.9308 2.68305 1.40994 10.67734 8.49238 28.74
2116 -0.9308 2.60334 1.223736 10.472276 8.141652 28.74
2117 -0.9308 2.52363 1.037532 10.267212 7.790924 28.74
2118 -0.9308 2.44392 0.851328 10.062148 7.440196 28.74
2119 -0.9308 2.36421 0.665124 9.857084 7.089468 28.74
2120 -0.9308 2.2845 0.47892 9.65202 6.73874 28.74
2121 -0.9308 2.25245 0.292716 9.446956 6.388012 28.74
2122 -0.9308 2.2204 0.106512 9.241892 6.037284 28.74
2123 -0.9308 2.18835 -0.079692 9.036828 5.686556 28.74
2124 -0.9308 2.1563 -0.265896 8.831764 5.335828 28.74
2125 -0.9308 2.12425 -0.4521 8.6267 4.9851 28.74
2126 -0.9308 2.0922 -0.638296 8.4216348 4.6343696 28.74
2127 -0.9308 2.06015 -0.824492 8.2165696 4.2836391 28.74
2128 -0.9308 2.0281 -1.010688 8.0115043 3.9329087 28.74
2129 -0.9308 1.99605 -1.196884 7.8064391 3.5821783 28.74
2130 -0.9308 1.964 -1.38308 7.6013739 3.2314478 28.74
2131 -0.9308 1.93853 -1.569276 7.3963087 2.8807174 28.74
2132 -0.9308 1.91306 -1.755472 7.1912435 2.529987 28.74
2133 -0.9308 1.88759 -1.941668 6.9861783 2.1792565 28.74
2134 -0.9308 1.86212 -2.127864 6.781113 1.8285261 28.74
2135 -0.9308 1.83665 -2.31406 6.5760478 1.4777957 28.74
2136 -0.9308 1.81118 -2.500256 6.3709826 1.1270652 28.74
2137 -0.9308 1.78571 -2.686452 6.1659174 0.77633478 28.74
2138 -0.9308 1.76024 -2.872648 5.9608522 0.42560435 28.74
2139 -0.9308 1.73477 -3.058844 5.755787 0.074873913 28.74
2140 -0.9308 1.7093 -3.24504 5.5507217 -0.27585652 28.74
2141 -0.9308 1.6831375 -3.431236 5.3456565 -0.62658696 28.74
2142 -0.9308 1.656975 -3.617432 5.1405913 -0.97731739 28.74
2143 -0.9308 1.6308125 -3.803628 4.9355261 -1.3280478 28.74
2144 -0.9308 1.60465 -3.989824 4.7304609 -1.6787783 28.74
2145 -0.9308 1.5784875 -4.17602 4.5253957 -2.0295087 28.74
2146 -0.9308 1.552325 -4.362216 4.3203304 -2.3802391 28.74
2147 -0.9308 1.5261625 -4.548412 4.1152652 -2.7309696 28.74
2148 -0.9308 1.5 -4.734608 3.9102 -3.0817 28.74
2149 -0.9308 1.5354 -4.920804 3.5678 -3.4324 28.74
2150 -0.9308 1.5468 -5.107 3.5062 -3.7832 28.74
2151 -0.9308 1.5531 -5.107 3.4375 -3.7832 28.470205
2152 -0.9308 1.5547 -5.107 3.3717 -3.7832 28.20041
2153 -0.9308 1.5527 -5.107 3.3114 -3.7832 27.930615
2154 -0.9308 1.5482 -5.107 3.2545 -3.7832 27.66082
2155 -0.9308 1.5419 -5.107 3.2005 -3.7832 27.391026
2156 -0.9308 1.5324 -5.107 3.15264 -3.7832 27.121231
2157 -0.9308 1.5229 -5.107 3.10478 -3.7832 26.851436
2158 -0.9308 1.5134 -5.107 3.05692 -3.7832 26.581641
2159 -0.9308 1.5039 -5.107 3.00906 -3.7832 26.311846
2160 -0.9308 1.4944 -5.107 2.9612 -3.7832 26.042051
2161 -0.9308 1.48311 -5.107 2.92104 -3.7832 25.772256
2162 -0.9308 1.47182 -5.107 2.88088 -3.7832 25.502461
2163 -0.9308 1.46053 -5.107 2.84072 -3.7832 25.232666
2164 -0.9308 1.44924 -5.107 2.80056 -3.7832 24.962871
2165 -0.9308 1.43795 -5.107 2.7604 -3.7832 24.693077
2166 -0.9308 1.42666 -5.107 2.7258 -3.7832 24.423282
2167 -0.9308 1.41537 -5.107 2.6912 -3.7832 24.153487
2168 -0.9308 1.40408 -5.107 2.6566 -3.7832 23.883692
2169 -0.9308 1.39279 -5.107 2.622 -3.7832 23.613897
2170 -0.9308 1.3815 -5.107 2.5874 -3.7832 23.344102
2171 -0.9308 1.3712 -5.107 2.55704 -3.7832 23.074307
2172 -0.9308 1.3609 -5.107 2.52668 -3.7832 22.804512
2173 -0.9308 1.3506 -5.107 2.49632 -3.7832 22.534717
